tipo de material,codigo,nombre,pkg
TERMINAL,TAP12ABG22SN,144969-1,11000
TERMINAL,TAP12EC158SN,1452158-1,12000
TERMINAL,TAP12JPT06AU,2-964282-1,3500
TERMINAL,TAP12JPT14SN,927778-1,4000
TERMINAL,TAP12LAMD8AU,1241380-2,4500
TERMINAL,TAP12LAMD8SN,1241380-1,4500
TERMINAL,TAP12MC282SN,1-2141857-1,4500
TERMINAL,TAP12MCP01SN,2-964292-1,4000
TERMINAL,TAP12MCPE1SN,1743423-1,3000
TERMINAL,TAP12MQS02AU,962885-5,9000
TERMINAL,TAP12MQS02SN,962885-1,9000
TERMINAL,TAP12MSWD5SN,171631-1,6000
TERMINAL,TAP12MSWD6SN,171630-1,6000
TERMINAL,TAP12MT204SN,964261-2,7000
TERMINAL,TAP12PLM22BR,170452-1,5000
TERMINAL,TAP12PLM22SN,170452-2,5000
TERMINAL,TAP12VGT06SN,1534594-1,10000
TERMINAL,TAP1302506AU,967542-2,4000
TERMINAL,TAP1302506SN,967542-1,4000
TERMINAL,TAP1304012SN,175265-1,5000
TERMINAL,TAP13187R2SN,2-520274-2,2000
TERMINAL,TAP13187U2SN,2-520275-2,1000
TERMINAL,TAP13250U2SN,9-520183-2,2200
TERMINAL,TAP1325RU2SN,2-520183-2,1795
TERMINAL,TAP13JPT04SN,927771-3,4000
TERMINAL,TAP13JPT08AU,2-927770-1,3750
TERMINAL,TAP13JPT08SN,927770-3,3750
TERMINAL,TAP13MCPE2SN,1743162-1,3500
TERMINAL,TAP14PLM12BR,170233-1,4000
TERMINAL,TAP14RT020SN,130017,1000
TERMINAL,TAP14RTR00SN,2-34113-2,5000
TERMINAL,TAP2306001SN,2109005-2,6000
TERMINAL,TAP2306002SN,2109006-2,6000
TERMINAL,TAP23110W6SN,1241868-1,3500
TERMINAL,TAP23ABS24AU,962876-5,4000
TERMINAL,TAP23ABS24SN,962876-2,4000
TERMINAL,TAP23ABS28SN,962876-1,4000
TERMINAL,TAP23EC288SN,1241394-1,2370
TERMINAL,TAP23ECS06AU,965906-5,9000
TERMINAL,TAP23ECS06SN,965906-1,9000
TERMINAL,TAP23ECS16AU,,9000
TERMINAL,TAP23GET02AU,1393365-2,10000
TERMINAL,TAP23JPT06AU,R-JPT(0.5-0.85)AU AMP-D,306
TERMINAL,TAP23JPT06SN,964286-2,3500
TERMINAL,TAP23MC126AG,1452668-3,6000
TERMINAL,TAP23MC126AU,1452668-2,6000
TERMINAL,TAP23MC126SN,7-1452668-1,6000
TERMINAL,TAP23MC282SN,1-968849-1,4500
TERMINAL,TAP23MC632SN,1241402-1,1800
TERMINAL,TAP23MCP01SN,2-964294-1,12000
TERMINAL,TAP23MCP02SN,1241388-1,3500
TERMINAL,TAP23MCPE6SN,936607-1,3000
TERMINAL,TAP23MQS12SN,5-963715-1,10000
TERMINAL,TAP23MQS18SN,2005120-1,10000
TERMINAL,TAP23MT204SN,964263-2,6000
TERMINAL,TAP23REM02SN,2390130-1,10000
TERMINAL,TAP2407002SN,173631-1,4000
TERMINAL,TAP2407102SN,175221-1,2000
TERMINAL,TAP2418732SN,62137-2,1
TERMINAL,TAP2525001SN,170340-3,4000
TERMINAL,TAP25PLM12BR,170032-2,6000
TERMINAL,TAP25PLM12SN,170032-5,6000
TERMINAL,TAP25PLM22BR,170454-1,3000
TERMINAL,TAP25PLM22SN,170454-2,3000
TERMINAL,TAP33ABS26SN,927836-2,1500
TERMINAL,TAP33VGT16SN,1670144-1,9000
TERMINAL,TAP3406001SN,2109005-3,5000
TERMINAL,TAP3406002SN,2109006-3,5000
TERMINAL,TAP3409021SN,368087-1,9000
TERMINAL,TAP3409022SN,368084-1,4500
TERMINAL,TAP3409032SN,1743655-1,4500
TERMINAL,TAP34187F2SN,1897538-1,4000
TERMINAL,TAP34250F2SN,1897660-1,3000
TERMINAL,TAP3437152SN,963715-1,10000
TERMINAL,TAP34EC158SN,1241608-1,8500
TERMINAL,TAP34MC126AG,1452671-3,6500
TERMINAL,TAP34MCPE1SN,1743424-1,3000
TERMINAL,TAP34MSWD6SN,171662-1,6000
TERMINAL,TAP35251F2SN,61375-1,12000
TERMINAL,TAP44MC122AU,1452659-2,8000
TERMINAL,TAP44VGT06SN,1452503-1,8000
TERMINAL,TAP4502506AG,967543-3,4000
TERMINAL,TAP4502506SN,967543-1,4000
TERMINAL,TAP45187F2SN,3-520412-2,2000
TERMINAL,TAP45187T2SN,3-520410-2,1000
TERMINAL,TAP45250U2SN,3-350820-2,1000
TERMINAL,TAP45251U2SN,3-520140-2,1300
TERMINAL,TAP4525RU2SN,3-350819-2,2200
TERMINAL,TAP4528801AG,2-2141598-2,2700
TERMINAL,TAP45ABS26SN,927835-2,1500
